Sun Aug 23 10:44:25 PDT 2015 --  Gooooooaaaaaallllllllllllllllllllll Luis Suarez <3 <3 54'Min Athletic Bilbao 0-1 FC Barcelona
Sun Aug 23 09:32:01 PDT 2015 --  1st Liga round of the season.. C'Mon Barca <3 #Visca_El_Barca <3 — watching FC Barcelona vs Athletic Bilbao
Sat Aug 22 21:04:50 PDT 2015 --  नेपाली हरुको महान चाड , नेपाल बन्दको उपलक्ष्य मा , आदरणीय दाजुभाई तथा दिदिबहिनी हरुमा हार्दिक शुभकामना ।।।।।
Tue Aug 18 09:22:19 PDT 2015 --  सर ले क्लास म पढाउदा , निन्द्रा लाग्छ । के यो माया हो? 󾌴󾌴 :p
Mon Aug 17 13:03:54 PDT 2015 --  Picture: Captains before the game #fcblive pic.twitter.com/JchGDhaGC0
Mon Aug 17 09:27:51 PDT 2015 --  It is happening... #DR5AM #B5LIEVE #fcblive pic.twitter.com/1UWG16Ejob
Sat Aug 15 08:14:05 PDT 2015 --  TEMPLE' is a 6 letter word. 'CHURCH' is a 6 ltr word. 'MASJID' is also a 6 ltr word. Also 'GEETA' is a 5 letter... http://fb.me/6XhNJfsqA 
Fri Aug 14 18:32:42 PDT 2015 --  RT if you think Messi is the best player EVER! pic.twitter.com/xDVOysFXmP
Mon Jul 06 21:28:16 PDT 2015 --  “Marry someone you want to annoy for the rest of your life.”
Tue Aug 11 14:26:15 PDT 2015 --  Finallly Barca won... Full Time FC Barcelona 5-4 Sevilla FC Barcelona have won their 4th trophy in the year... http://fb.me/4G9dHyepq 
Tue Aug 11 12:06:09 PDT 2015 --  Retweet if you believe he is the best player that has ever lived. pic.twitter.com/9OdSgKs4Gt
Tue Aug 11 08:29:39 PDT 2015 --  आज दुई ओटा कुरा हुन्छ कि त Barca ले जित्छ कि त Sevilla ले हार्छ 󾌴󾌴 #Excited 4th trophy of the year... http://fb.me/2ibNo6I97 
Mon Aug 10 18:24:32 PDT 2015 --  बिहान बिहान भाई अर्को तिर फर्केर घोरियेर पढ्न लागेछ भनेको त Candy Crush पो खेल्दै रछ ।।। — feeling angry
Sun Aug 09 06:25:37 PDT 2015 --  हेर्दा हेर्दै आफू पनि United States of Nepal को नागरिक भईएछ ।।।। 󾌳󾌳
Sun Aug 09 05:25:25 PDT 2015 --  Barclays Premiere League is Back.. New Season… New Hope ... C'mon You Gunners <3 <3 #Arsenal <3 — watching Arsenal vs West Ham United
Sat Aug 08 06:18:09 PDT 2015 --  "I thought it might be difficult to go for 6 months without playing but I'm trying to prepare myself." - Arda Turan #fcblive
Sat Aug 08 06:19:00 PDT 2015 --  "I am a huge Sevilla fan, but not in this game. As always, I’ll give all I have to Barça", says Ivan Rakitic #FCBlive
Sat Aug 08 11:30:10 PDT 2015 --  Rakitic: “We all know what Messi is capable of doing and he seems happy and on top form.” #fcblive pic.twitter.com/uTjK0y0ya5
Sat Aug 08 11:32:47 PDT 2015 --  Well said #fcblive pic.twitter.com/3v7sZzJE1I
