Sat Aug 29 01:16:30 PDT 2015 --  Fall Afresh - Jeremy Riddle w/lyrics https://youtu.be/RKJaceAZjs8  via @YouTube
Sat Aug 29 00:54:23 PDT 2015 --  Jesus Take The Wheel - Kaitlyn Thomas Age 12 https://youtu.be/GxV9YvW3pBA  via @YouTube
Fri Aug 28 23:41:20 PDT 2015 --  Come holyspirit, fall afresh on me
Fri Aug 28 23:39:11 PDT 2015 --  You can't have faith c/o someone else. You got to believe.
Fri Aug 28 23:36:34 PDT 2015 --  Never give up since there will never be anytime that God will give up on you. He is making something beautiful in your life.
Fri Aug 28 23:31:16 PDT 2015 --  Suffering- Endurance- Character- Hope- Hope doesn't disappoint us. @GreggT.Johnson
Fri Aug 28 23:25:54 PDT 2015 --  With Holyspirit wings, you can fly to unimaginable heights. @Jentezen @BrianCHouston @nickvujicic @LisaBevere @Josephprince
Fri Aug 28 01:26:10 PDT 2015 --  The things we think about, focus on and surround ourselves with will shape who we become. @ArmorOGod @lovlikeJesus
Fri Aug 28 00:25:46 PDT 2015 --  Create your space and occupy it.
Thu Aug 27 13:23:19 PDT 2015 --  It is not about numbers. All i do is to inspire myself to keep believing in what i do and rise above challenges that comes my way.
Thu Aug 27 03:17:11 PDT 2015 --  Desire to manifest prosperity, one has to focus on positive thought inside mental video during manifestation process @kennyHamilton
Thu Aug 27 02:27:32 PDT 2015 --  Live your faith everyday. @gregg T. Johnson @peggy in God @Jesus Branch @this jenkim @quotes4ourlives @paula_white @ApostleMMwangui
Wed Aug 26 07:03:12 PDT 2015 --  If God can turn night into day. He can turn your burden into a blessing.
Wed Aug 26 02:00:15 PDT 2015 --  Life is God's novel. Let him write it.
Tue Aug 25 02:15:14 PDT 2015 --  Believe with your eyes not with your ears.
Tue Aug 25 00:19:47 PDT 2015 --  Character and integrity leads to proper leadership. The opposite leads to mediocrity.
Tue Aug 25 00:15:11 PDT 2015 --  Your personal definition of success determines how you use what is in your hands.
Tue Aug 25 00:12:12 PDT 2015 --  So long as you are still full of life, know that you mission on this planet is not finished yet.
Tue Aug 25 00:00:39 PDT 2015 --  Refuse to be limited by your abilities.
