Fri Aug 28 21:02:01 PDT 2015 --  Happy 3 years my love! @IPAparece pic.twitter.com/2yGHa5U75B
Mon Aug 24 12:22:05 PDT 2015 --  It's about that time of the year again I get all mushy gushy about how much I love this man. Almost 3 years! pic.twitter.com/xQZkrYjhoo
Sun Aug 23 18:02:05 PDT 2015 --  Don’t beat yourself up over your flaws and weaknesses. Learn to accept yourself while you’re in the process of changing.
Fri Aug 21 20:27:33 PDT 2015 --  Happy 66th Birthday, Dad! Our saying since I was a baby "I love you very… https://instagram.com/p/6q6iwFwDWeAlxLUBot4CaUwKWv5Atm13Gih_Q0/ …
Thu Aug 20 20:22:31 PDT 2015 --  Spice miso ramen from Tiger Den 🏻 @ Tiger Den https://instagram.com/p/6oVK_UQDSu0_AaUg-ERaVHr5wQhKzgKrJGHpw0/ …
Thu Aug 20 02:59:52 PDT 2015 --  Start an IV on a patient who gained 163847383$ lbs during pregnancy and has generalized edema..... BISH WHERE.
Mon Aug 17 11:19:29 PDT 2015 --  "Men are living with visually wired and stimulated brains in a culture filled with very public images that we... http://amzn.com/k/x-ejhDIzQTuQWPrdfLzrpg …
Sun Aug 16 04:26:03 PDT 2015 --  Took an unexpected long break off from work. So this drive and walk in is extra
Thu Aug 13 17:38:58 PDT 2015 --  Lmao #timehop @jackieganzon http://timehop.com/c/t:235025347186413569:16140145:195102:ad2cd … pic.twitter.com/2ijiGdwbGA
Wed Aug 12 08:11:39 PDT 2015 --  A quick-tempered man does foolish things -Prov 14:17
Wed Aug 12 20:29:49 PDT 2015 --  Tonight my professionalism and my sanity as a human was pushed. I will not be defeated and torn down! Praying for a better tomorrow! 🏻
Mon Aug 10 19:58:06 PDT 2015 --  Korean food for dinner pic.twitter.com/CethOPMSW9
Mon Aug 10 11:28:50 PDT 2015 --  Damn it's so hot outside my car isn't even functioning correctly pic.twitter.com/oertEEp9Ng
Sun Aug 09 18:08:00 PDT 2015 --  Joshua meeting Hart for the first time. Probably wondering "what in the… https://instagram.com/p/6LxBAkQDTAgWzVuhmgxg7_Bv83BQ0xtTyK4kM0/ …
Fri Aug 07 11:34:52 PDT 2015 --  Hi Hart!! pic.twitter.com/rcKOVopqxl
Wed Aug 05 19:49:08 PDT 2015 --  Cheers to tobiko w/ quail egg! @ MOCHI SUSHI https://instagram.com/p/6BpbM-wDWsAjmhGTdtmybsqvBuVtQHEO6gk-Y0/ …
Wed Aug 05 18:05:26 PDT 2015 --  Stayed an extra hour on my 3rd shift in a row. Time to relax for real now! Cheers to a week off. #nurseschedule
Tue Aug 04 17:31:49 PDT 2015 --  PREACH!! Another great read: A Real Man Doesn’t Hesitate When He Finds The Right Woman http://elitedaily.com/dating/real-man-right-woman/980955/ …
Tue Aug 04 06:23:49 PDT 2015 --  Good read: "It's Worth The Fight" http://elitedaily.com/dating/couples-argue-strong-healthy/1117568/ …
