Thu Aug 27 05:23:42 PDT 2015 --  Kita selalu jahat di mata org , entah bila org nampak kebaikan kita
Fri Aug 21 03:07:55 PDT 2015 --  Burung terbangkan nada pilu Angin hilangkan nada sepi ...
Mon Aug 17 07:31:03 PDT 2015 --  Aku kan beriman soleha kahkahkah@frsyzn ko ado?
Mon Aug 17 07:10:47 PDT 2015 --  :p:o @frsyzn
Mon Aug 17 01:13:58 PDT 2015 --  Lazy day :*
Wed Aug 12 22:18:00 PDT 2015 --  The pain you're feeling can't compare to the joy that's coming.
Thu Aug 13 02:12:36 PDT 2015 --  Khas pesanan daripada admin kepada anda semua. "Peraturan kerajaan yang tentukan, tetapi rezeki dan nasib adalah Allah yang tentukan".
Tue Aug 11 01:42:58 PDT 2015 --  #TipsMasukU Pastikan fokus kepada belajar bukan bercinta supaya nanti dapat gaji tinggi jaga elok ibu ayah.
Tue Aug 11 23:54:44 PDT 2015 --  Bagi perempuan mereka lebih percaya patung daripada lelaki sebab patung sentiasa berada disisi teman. pic.twitter.com/tahKg4DnOj
Thu Aug 13 01:18:24 PDT 2015 --  Bersyukur apa yang anda ada. Admin tahu perasaan itu sebab admin adalah orang susah masa budak. pic.twitter.com/plRP0HF9vR
Thu Aug 13 02:05:47 PDT 2015 --  Seperti burung yang sedang berkicauan #jalanjem
Thu Aug 13 01:41:41 PDT 2015 --  Blue sky 8-)
