Thu Aug 27 12:43:38 PDT 2015 --  When's the next vid Matt https://twitter.com/matthdgamer/status/636987215449583616 …
Sun Aug 16 14:05:36 PDT 2015 --  1st fav https://twitter.com/matthdgamer/status/633021714239242244 …
Sun Aug 16 10:31:07 PDT 2015 --  BRAND NEW VIDEO!! "NOW I'M MAD" watch here-> https://www.youtube.com/watch?v=pNUeppZW8AY … please thumbs up & RT for a follow or DM!!
Sun Aug 16 11:44:54 PDT 2015 --  1st re tweet https://twitter.com/skysports/status/632986217601220608 …
Thu Aug 13 15:00:22 PDT 2015 --  On twitch or YouTube https://twitter.com/aa9skillz/status/631947461666435074 …
Wed Aug 12 15:45:20 PDT 2015 --  Awesome app to spice up your videos! Check it out guys! https://itunes.apple.com/app/intro-designer-lite-create/id488748114?ls=1&mt=8 … pic.twitter.com/UE0r2G1P8B
Sat Aug 08 04:57:51 PDT 2015 --  #letsgethastagnomnomtrending #nomnom https://twitter.com/viewfromgorgie/status/629984656398618624 …
Sat Aug 08 04:57:02 PDT 2015 --  Omg I love that song and tou https://twitter.com/weeweewayne/status/629984211492020224 …
Fri Jul 31 04:15:31 PDT 2015 --  5 points to griffindor @bateson87 https://twitter.com/bateson87/status/627074789207838722 …
Mon Jul 27 08:47:48 PDT 2015 --  My dog taped your cat to a wall and raped it now hot cat has hiv and aids https://twitter.com/marcusbutler/status/625692397226315777 …
Fri Jul 24 10:03:18 PDT 2015 --  Was alright before when I was opening packs then it shit itself
Tue Jul 14 10:58:22 PDT 2015 --  Pickles don't know me like I know me.
Tue Jul 14 11:51:59 PDT 2015 --  I feel a big win coming in hhgh @TheLondonHearts https://twitter.com/thelondonhearts/status/621028932381503488 …
Tue Jul 14 11:28:27 PDT 2015 --  All the Spurs players #shitehartlane @OfficialMgh https://twitter.com/officialmgh/status/621016499994673152 …
Tue Jul 07 04:05:43 PDT 2015 --  Please do!!! https://twitter.com/lukeisnotsexy/status/617431898118356992 …
Sat May 30 10:10:48 PDT 2015 --  GET FUCKING IN THERE WALLCOT @OfficialMgh
Tue Apr 21 10:30:22 PDT 2015 --  NEW VIDEO: "BOYFRIEND": http://bit.ly/1ObBCHc  RT for a DM full of love; I'm sending as many as I can! <3
Thu Apr 16 08:56:40 PDT 2015 --  pic.twitter.com/QTuUQgdoVT
Sun Feb 08 22:00:18 PST 2015 --  okay honestly I can't stop screaming QUEEN! at the tv while @ladygaga performs seriously she is just my favorite I LOVE HER SO MUCH
