Sat Aug 29 02:22:52 PDT 2015 --  Alumni sana jatohnya gajauh dari TI...
Sat Aug 29 01:47:59 PDT 2015 --  Babe you're so damn cool @riostevadit pic.twitter.com/3HOHZyJbzs
Sat Aug 29 01:38:18 PDT 2015 --  Rambut doi paling ganteng(?) di coveran akhir cerita cinta bareng patton, ada poni2nya gitu gemes
Sat Aug 29 00:56:01 PDT 2015 --  Ngeliat foto2 kakak angkatan wisuda hari ini, sejenak berpikir, aku kapan
Sat Aug 29 00:50:24 PDT 2015 --  Throwback nya kejauan inimah
Sat Aug 29 00:22:37 PDT 2015 --  We're just so happy because it's our senior year #throwback @ Sman 1 Gedangan https://instagram.com/p/69XAoitpX2/ 
Fri Aug 28 23:21:26 PDT 2015 --  Iklan powered price minus di internet nih lama2 bikin depresi
Fri Aug 28 18:49:36 PDT 2015 --  Suka langsung pengen mewek kalau ada anak masih kecil penyakitnya macem cancer
Fri Aug 28 18:43:12 PDT 2015 --  Taman anggrek
Fri Aug 28 08:45:45 PDT 2015 --  Mengusik luka lama sih RT @AstryMelania_: Habis ini kita dikutuk bareng bareng kak:v https://twitter.com/stywdya09/status/637287824148926464 …
Fri Aug 28 08:41:03 PDT 2015 --  Habis ini kita dikutuk bareng bareng kak:v https://twitter.com/stywdya09/status/637287824148926464 …
Fri Aug 28 08:39:27 PDT 2015 --  Sepertinya kang likersnya udah lelah
Fri Aug 28 08:37:12 PDT 2015 --  Runaways never diesss RT @AstryMelania_: Likes teratas ttp punya cileee
Fri Aug 28 08:32:07 PDT 2015 --  Ask fm hiburan bgt malem2, iya..banget!
Fri Aug 28 08:30:57 PDT 2015 --  RT @Anggita_Gita24: sekarang tiap denger flashlight, langsung ingetnya ke rio. haha kan parah kan.
Fri Aug 28 08:05:11 PDT 2015 --  @zahradamariva Nyanyi di wisuda dan penyambutan maba UI hari ini. pic.twitter.com/G6UPAw3U7u
Fri Aug 28 07:55:35 PDT 2015 --  Hasyem, uwe baper..
Fri Aug 28 06:05:52 PDT 2015 --  Terima kasihh.. Sering2 di puter https://twitter.com/963rpkfm/status/637180045539147776 …
Fri Aug 28 05:18:08 PDT 2015 --  Masa sedih RT @salmaatikha: Bahagia bgt kayaknya :") RT @stywdya09: =)) RT salmaatikha: @riostevadit hay, peluk dari jauh ({}) kmrn di solo
Fri Aug 28 05:11:40 PDT 2015 --  Bhak RT @Puutri_Tyas: Gapapaa dianggap selingkuhan juga mah, kan biasanya yg diperhatiin bgt2 selingkuhannya, pacarnya dicuekin..... *eh *m
Fri Aug 28 04:35:03 PDT 2015 --  https://twitter.com/stywdya09/status/637226751463067648 …
Fri Aug 28 04:34:31 PDT 2015 --  Kalo doi udah ada yg punya, kita hanya dianggap selingkuhan, aku stronger
Fri Aug 28 04:33:12 PDT 2015 --  Bazar.... RT @LinAuliya: rizky bazar gojigo nya gak niat bangett cuma nampang gigi doang wkek
Fri Aug 28 04:19:44 PDT 2015 --  Baru nyadar foto2 lama di ig dinar diapusiin, disisain foto kenangan nacil
Fri Aug 28 04:15:16 PDT 2015 --  Ketika dinar membawa cici ke makam nacil...........
Fri Aug 28 04:14:39 PDT 2015 --  Oh gitu. Oke RT @riostevadit: klo itu mah selingkuhan, wkwkw https://twitter.com/yusfitaap/status/637218894369812481 …
Fri Aug 28 04:13:41 PDT 2015 --  RT @riostevadit: eeitts jgn salah... https://twitter.com/titindwiseptya/status/637218115445612544 …
Fri Aug 28 04:12:42 PDT 2015 --  Modus biar tau kampusnya=)) RT @yusfitaap: @riostevadit pak jas almamaternya warna apa? *pertanyaan apa ini* ckck
Fri Aug 28 03:45:55 PDT 2015 --  RT @gladysals Definisi para bidadari cc @ifyalyssa @PricillaBlink @SiviaBlink @Ify_blink @FebbyBlink pic.twitter.com/moNkV2fGz6
Fri Aug 28 04:10:12 PDT 2015 --  =)) RT @salmaatikha: @riostevadit hay, peluk dari jauh ({}) kmrn di solo takut minta peluk ehehe
Fri Aug 28 02:55:22 PDT 2015 --  Iniapasih, LM terealisasikan nih lama2
Fri Aug 28 01:46:57 PDT 2015 --  "Kan harus tau menempatkan situasi" ini cowok ga ada kw nya apa ya..tolong dong
Fri Aug 28 01:45:45 PDT 2015 --  kan hrs tau menempatkan situasi ckck https://twitter.com/NadiraFdlh/status/637183839488487424 …
Fri Aug 28 01:37:58 PDT 2015 --  udah dong https://twitter.com/stywdya09/status/637182172290400256 …
Fri Aug 28 00:45:43 PDT 2015 --  itu nmanya keluarga cemara ckckc https://twitter.com/ndaaprilta2/status/637167887019458560 …
Fri Aug 28 00:07:27 PDT 2015 --  Supertrap njirrr (at Nutrition Academy of Surabaya) — https://path.com/p/AHw69 
Thu Aug 27 23:22:38 PDT 2015 --  Emang salah apa yaa ngefans sm org yg gk pernah muncul di tv -,- zzz
Thu Aug 27 23:32:46 PDT 2015 --  "Sebelum menjadi maha bintang, kita harus jadi maha banting"
Thu Aug 27 22:47:49 PDT 2015 --  Psikologi (with banyak at Nutrition Academy of Surabaya) — https://path.com/p/2AfKG3 
