Sun Aug 23 03:22:52 PDT 2015 --  Males minum obat pic.twitter.com/NL1bfR26Np
Sat Aug 22 03:26:54 PDT 2015 --  Saya juga pengen dihargai #renunganSore
Wed Aug 19 03:57:58 PDT 2015 --  Cowok baik ituh yg mau kemana mana ngabarin. Gak mau bikin cewek khawatir, gak mau bikin cewek resah kalo belom dpt kabar.
Wed Aug 19 03:50:44 PDT 2015 --  Tipe Cowok modus tuh Baru di gituin udah kabur hehe..
Wed Aug 19 03:47:19 PDT 2015 --  Part I pic.twitter.com/8wLFrWERvQ
Wed Aug 19 03:47:19 PDT 2015 --  Part II pic.twitter.com/gLN5OBfUHQ
Sun Aug 16 03:21:34 PDT 2015 --  With Tanty oyyy pic.twitter.com/mtnvYjbbeG
Fri Aug 14 19:35:35 PDT 2015 --  Seorang wanita dpt jadi teman,pacar,istri,musuh, atau mimpi terburukpun, itu tergantung ama kmu bagaimana kmu memperlakukannya h☉,☉h
Fri Aug 14 19:31:21 PDT 2015 --  Memiliki itu perlu, agar kita bisa belajar mempertahankan, sebelum benar-benar kehilangan.
Fri Aug 14 19:29:48 PDT 2015 --  Asy Sya’bi:, ???? ?????? ? ?????? ????????? “Siapa yang berdusta, maka ia adalah munafik.” (Jami’ul ‘Ulum wal Hikam, 2: 493)
Fri Aug 14 08:33:39 PDT 2015 --  Setiap mata Yang tertutup Bukan berarti iA tidur Dan Setiap mata yang terbuka Tidak berarti iA melihat pic.twitter.com/X6pEjDxkxX
Fri Aug 14 00:58:43 PDT 2015 --  BebaskN Aq Dri KeAdaan ini SmpurnakN hdpku Dri Rapuh'y Jiwaku Adakh sSorang Yg mMpu Mlepasknku Dari Kesepian ini pic.twitter.com/vGe88QhixR
Sun Aug 09 23:11:21 PDT 2015 --  Alhmdllah kesampain juga makan mie ayam.. Makasih bibi Marzya pic.twitter.com/mGGYYCEXKU
Sun Aug 09 04:03:53 PDT 2015 --  Hi @sukisuki670 Kita Menyediakan HERBAL Peninggi, Pelangsing, Penggemuk, Masker Anti Jerawat/Komedo/Flek dll via http://uapp.ly 
Sun Aug 09 00:01:02 PDT 2015 --  Apapun yang telah kamu lakukan, apapun kesalahanmu, kamu akan selalu menemukan kata maaf dalam hati seorang Ibu.
Sun Aug 09 03:05:43 PDT 2015 --  smua Kuhadapi dgn sndiri Meski hati mnangis tak ada pilihan lain selain brusaha TEGAR keadaan memksaku hrs KUAT Meski sbnarnya ku tak MAMPU.
Sat Aug 08 08:46:32 PDT 2015 --  life filled with loneliness
Sat Aug 08 08:14:46 PDT 2015 --  Cinta yang sesungguh nya itu tak mungkin saling menyakiti. melainkan memberi, mengasihi, menjaga nya.
Sat Aug 08 08:14:04 PDT 2015 --  Jangan paksakan hati bila memang tak sanggp untuk membahagiakan.
Sat Aug 08 08:12:47 PDT 2015 --  Semoga kita masih tetap bisa tersenyum bahagia dengan hal-hal yang sederhana
Sat Aug 08 07:49:42 PDT 2015 --  Pecahkan saja gelasnya biar Rame
Sat Aug 08 03:31:18 PDT 2015 --  Ponakan pic.twitter.com/a9qaZeED4s
Fri Aug 07 20:10:11 PDT 2015 --  Merokok merusak badan, selingkuh merusak hati, #budayatidakmerokok
Fri Aug 07 22:31:58 PDT 2015 --  HIJI deui hehe pic.twitter.com/u92VfRkbwW
Fri Aug 07 22:21:11 PDT 2015 --  Jaman 2014 pic.twitter.com/ezaj6cXVgq
Fri Aug 07 06:28:37 PDT 2015 --  Kamu Hebat.... Mengulang_ulang sesuatu Yang jelas Saya kagak Suka Makasih :'(
Fri Aug 07 01:53:25 PDT 2015 --  Ya allah... Kami hanya berlindung padamu.. Semoga engkau melindungi kami Amiin. pic.twitter.com/5VWoymCBFE
Thu Aug 06 23:52:18 PDT 2015 --  Me And Tanty pic.twitter.com/lWX3Cg1Sjs
Thu Aug 06 22:06:23 PDT 2015 --  Kode BMT 2010,Rp158Ribu,thalita syari, spdk korea + sleting depan + bergo,fit to XL pic.twitter.com/Mf71BmVFrp
Thu Aug 06 22:20:46 PDT 2015 --  Bangun tiduR euy....... pic.twitter.com/pcbMVUIgUG
Wed Aug 05 20:54:45 PDT 2015 --  Skrang mah gak mau terlalu berharap dehh, ujungnya malah sakit sendiri :')
Wed Aug 05 20:49:29 PDT 2015 --  Today pic.twitter.com/LV0QHmqCeJ
Wed Aug 05 07:35:27 PDT 2015 --  pic.twitter.com/29JdBHGa5V
Wed Aug 05 07:31:33 PDT 2015 --  BEEEEEEEEETEEEE :(
Wed Aug 05 07:20:27 PDT 2015 --  Ktika amarah mmuncak, brsbar adalah pilihan terbaik. Marah tidak mNyelesaikN masalah dan mengalah bukan berarti kalah pic.twitter.com/2V97GX44Jm
Wed Aug 05 07:16:42 PDT 2015 --  Saya paling benci yang namanya di Cuekin.. #LONELY :(
Wed Aug 05 04:47:04 PDT 2015 --  :( pic.twitter.com/f1E1x33OGD
Tue Jan 13 06:42:31 PST 2015 --  #NounaSyari #BajuMuslim #BajuCantik #GamisSyari PO size SMLXL, ecer 360ribu resel 345ribu. #HijabFashion #TrendGamis pic.twitter.com/HL0dWZjiiu
