Fri Aug 28 14:41:57 PDT 2015 --  Be strong & take heart, all you who hope in the LORD. Psalm. 31:24
Thu Aug 27 04:35:27 PDT 2015 --  Today's the day!! https://twitter.com/texashsfootball/status/636765630620762113 …
Wed Aug 26 20:49:52 PDT 2015 --  Yep. #truth pic.twitter.com/ri4AI8FBlv
Tue Aug 25 16:26:54 PDT 2015 --  Don't miss the 1st FCA meeting of the year!! Next Thurs, Sept 3rd, at 7:30am in the forum!! Hope to see you there!! @itsmrsssK @jtrowe33
Tue Aug 25 15:04:22 PDT 2015 --  YES!!!! #GoSELULions @roxihart @parrie_rose @LandryBullock @rachael_bunn @tiff_005
Sat Aug 22 20:06:41 PDT 2015 --  If serving is below you, leadership is beyond you.
Sat Aug 22 13:00:59 PDT 2015 --  Be strong & courageous. Do not be terrified or discouraged, for the LORD your God will be with you wherever you go. -Josh 1:9
Tue Aug 18 19:02:50 PDT 2015 --  It's time!!!!! #HardKnocks
Mon Aug 17 19:58:03 PDT 2015 --  Always liked @KathieLGifford but now I am a huge fan. What a heartfelt message & witness she delivered today on behalf of her late husband
Sun Aug 16 15:19:10 PDT 2015 --  Girls, please do this ... @parrie_rose @heatherjooo @lindsaygrace12… https://instagram.com/p/6dfRv3RAS51gmAfFOAUd87jGfwaEVf6k5XqA80/ …
Sat Aug 15 15:55:28 PDT 2015 --  When you're 6 foot and considered short on your team pic.twitter.com/YPAbaCy1Ox
Sun Aug 16 16:12:28 PDT 2015 --  Jason Day is a major champion. #PGAChamp pic.twitter.com/EI5iolRAoM
Sat Aug 15 19:16:50 PDT 2015 --  Let's go #HoustonTexans!! Rooting for @Willj2610!! Let's Go #8!! #FootballLeagueTonight #Texans
Sat Aug 15 06:42:41 PDT 2015 --  BT was GREAT last night in 1st scrimmage vs Buffalo. Our boys have huge talent & hearts, & most importantly, each others' backs. #txhsfb
Fri Aug 07 08:07:55 PDT 2015 --  Beautiful reminder above all else to pursue the Father with everything we got. #amen #QuotesOfTheDay pic.twitter.com/sysbPJWyA0
Wed Aug 12 14:16:32 PDT 2015 --  Shout Out to my favorite #MiddleChild!! Happy National Middle Child Day,… https://instagram.com/p/6Sfbx7pMuWfPYi1iLQpEbrfXM-rsSSgulGvhM0/ …
Tue Aug 11 20:30:05 PDT 2015 --  FEAR has two meanings. The choice is yours. pic.twitter.com/9RmjQ0ulxz
Tue Aug 11 18:35:44 PDT 2015 --  So pumped about the premier of #HardKnocks tonight at 9:00 on @HBO featuring the #HoustonTexans!! Rooting for #8 @Willj2610!!
Sat Aug 08 20:07:19 PDT 2015 --  Feel unloved? Jesus could have come down from that cross. It wasn't nails that held Him there... it was His love for you! Sleep easy fam!
Fri Aug 07 06:50:51 PDT 2015 --  Definitely been a LONG HOT SUMMER here in TEXAS!! Love me some #KeithUrban on #KeithUrbanTODAY
Thu Aug 06 12:42:52 PDT 2015 --  2ADII: BREMOND https://twitter.com/dctf/status/629374400136118273 …
Mon Aug 03 08:02:34 PDT 2015 --  Dear high school football, Welcome back. Words cannot express how much we missed you. Love, Texas #txhsfb
Mon Jul 27 21:35:55 PDT 2015 --  If you live for people’s acceptance you will die from their rejection. Lecrae #Quote
