Wed Aug 26 15:23:36 PDT 2015 --  appreciate nature
Wed Aug 26 21:57:40 PDT 2015 --  Gotta love Chris Young pic.twitter.com/ACgog8gZbj
Thu Aug 27 07:37:05 PDT 2015 --  When I think about how stupid the statement "I hate country" is, I think about this song. pic.twitter.com/5hmOHk2J6D
Thu Aug 27 12:20:56 PDT 2015 --  Be a best friend, tell the truth, and overuse "I love you" pic.twitter.com/HnB9iudaqn
Sat Aug 29 06:42:05 PDT 2015 --  https://twitter.com/sodamntrue/status/636581432224296960 …
Sat Aug 29 06:31:38 PDT 2015 --  USA Men disqualified in 4 x 1.
Fri Aug 28 20:53:17 PDT 2015 --  the best feeling in the world is knowing that you actually mean something to someone
Fri Aug 28 10:34:58 PDT 2015 --  If this doesn't describe us, I don't know what does https://instagram.com/p/674SqeQGW0gxauvIFta7PRJAecVufibZXi_Po0/ …
Fri Aug 28 07:21:02 PDT 2015 --  "On the shady side"
Fri Aug 28 05:56:12 PDT 2015 --  Nothing has changed #timehop http://timehop.com/c/t:505039308806701057:2596779471:18297335:ae125 … pic.twitter.com/PamHNjILWJ
Wed Aug 26 20:13:57 PDT 2015 --  A baby's bestfriend https://vine.co/v/M03tUtZUO67 
Wed Aug 26 19:40:50 PDT 2015 --  6 people followed me and 3 people unfollowed me // automatically checked by http://fllwrs.com 
Tue Aug 25 20:24:55 PDT 2015 --  I hope you're as good as you seem
Sun Aug 23 21:57:16 PDT 2015 --  this pic.twitter.com/yfF9iJYLmT
Sat Aug 22 19:48:50 PDT 2015 --  stress over nothing & trip over no one
Sat Aug 22 21:26:20 PDT 2015 --  "Fool me one time, shame on you. Fool me twice, can't put the blame on you."
Sat Aug 22 20:46:56 PDT 2015 --  @ oomf, I can easily tell when you're lying
Sat Aug 22 13:14:06 PDT 2015 --  I can't even get a text back…
Thu Aug 20 15:54:29 PDT 2015 --  Fstow
Tue Aug 18 15:08:36 PDT 2015 --  2 people followed me and one person unfollowed me // automatically checked by http://fllwrs.com 
Tue Aug 18 03:20:29 PDT 2015 --  Summer went by so fast
Tue Aug 18 03:00:02 PDT 2015 --  BONG BONG BONG BONG BONG BONG BONG BONG BONG BONG BONG
Mon Aug 17 09:07:16 PDT 2015 --  Familia https://instagram.com/p/6fZgs8QGSXAQzcFPcd1l8Gt4jJMwBifFkfuO00/ …
Sun Aug 16 18:05:46 PDT 2015 --  Nothing turns out like planned
Sun Aug 16 14:43:58 PDT 2015 --  https://twitter.com/sodamntrue/status/632707142634610688 …
Sun Aug 16 11:03:19 PDT 2015 --  It takes a long time to earn my trust
Sat Aug 15 19:18:32 PDT 2015 --  https://instagram.com/p/6bV3_4wGRifDJH43OfV9XM-wVoXKsws7AUBhU0/ …
Fri Aug 14 15:57:25 PDT 2015 --  3 people followed me and one person unfollowed me // automatically checked by http://fllwrs.com 
Thu Aug 13 15:16:11 PDT 2015 --  "Hope for the best, prepare for the worst"
Wed Aug 12 19:55:32 PDT 2015 --  Sass https://instagram.com/p/6Trub3QGSD7JvYp1XEJ2IM7se8MLd71ajPZAA0/ …
Mon Aug 10 14:45:23 PDT 2015 --  2 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Sat Aug 08 06:56:12 PDT 2015 --  Anybody at carowinds??
Thu Aug 06 13:56:26 PDT 2015 --  5 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Wed Aug 05 03:27:33 PDT 2015 --  !!! https://twitter.com/dory/status/628755132931538945 …
Sun Aug 02 11:28:00 PDT 2015 --  5 people followed me and 9 people unfollowed me // automatically checked by http://fllwrs.com 
Sun Aug 02 10:29:02 PDT 2015 --  Happy (9th) birthday kolbz @KolbiWeissinger pic.twitter.com/pQp0RsjAlt
Sat Aug 01 18:44:41 PDT 2015 --  I'm totally smiling on the inside:) https://instagram.com/p/53O35fwGfgFXZwjH5EUXSzXDdFhMrCb-xSoaM0/ …
Wed Jul 15 12:21:09 PDT 2015 --  this was my favorite tbh https://twitter.com/blackpplvines/status/621385842096009216 …
Wed Jul 15 07:43:25 PDT 2015 --  #GrowingUpHispanic not being able to sleep over your friend's house cause they're not your cousin or your parents don't know their family
Sat Aug 01 06:40:43 PDT 2015 --  July was a blur
Sat Aug 01 03:24:27 PDT 2015 --  By all appearances this is a day made in heaven to play, party... More for Aries http://bit.ly/zzEL3G 
Thu Jul 30 12:43:35 PDT 2015 --  Know yourself pic.twitter.com/YjXzHZSfch
Fri Jul 31 03:24:51 PDT 2015 --  You want to shout your opinions from the rooftop today as the ... More for Aries http://bit.ly/zzEL3G 
Thu Jul 30 03:24:46 PDT 2015 --  You can push boundaries without even realizing it when you are... More for Aries http://bit.ly/zzEL3G 
Wed Jul 29 10:51:45 PDT 2015 --  2 people followed me and 3 people unfollowed me // automatically checked by http://fllwrs.com 
Wed Jul 29 10:41:02 PDT 2015 --  rft https://twitter.com/dory/status/626134226526711808 …
Wed Jul 29 09:03:03 PDT 2015 --  Hate guys that flirt with everyone
Wed Jul 29 09:02:44 PDT 2015 --  Hate girls that flirt with everyone
Wed Jul 29 03:24:57 PDT 2015 --  There is so much emotional noise today, it's nearly impossible... More for Aries http://bit.ly/zzEL3G 
Tue Jul 28 03:24:49 PDT 2015 --  You may be so jazzed about a new project that you're off and r... More for Aries http://bit.ly/zzEL3G 
Mon Jul 27 03:24:41 PDT 2015 --  You're on a roll, talking up a storm with everyone you meet. Y... More for Aries http://bit.ly/zzEL3G 
Sun Jul 26 03:24:24 PDT 2015 --  No matter how serious your intentions are today, it's too soon... More for Aries http://bit.ly/zzEL3G 
Sat Jul 25 13:10:08 PDT 2015 --  HaHAhA, I look 10
Sat Jul 25 12:53:15 PDT 2015 --  5 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Sat Jul 25 03:24:19 PDT 2015 --  Your outrageous actions might be shocking today as revolutiona... More for Aries http://bit.ly/zzEL3G 
Fri Jul 24 09:35:22 PDT 2015 --  Diane J. Humetewa. First Native American Woman to be a Federal Judge. Hopi. pic.twitter.com/BcByvIYjYI
Fri Jul 24 03:24:47 PDT 2015 --  You prefer to be in full control of your fate, but you could e... More for Aries http://bit.ly/zzEL3G 
Thu Jul 23 03:24:53 PDT 2015 --  Expressing yourself honestly grows more complicated when you'r... More for Aries http://bit.ly/zzEL3G 
Wed Jul 22 03:24:40 PDT 2015 --  You might try a more cautious approach to sharing your feeling... More for Aries http://bit.ly/zzEL3G 
Tue Jul 21 11:09:10 PDT 2015 --  2 people followed me and 2 people unfollowed me // automatically checked by http://fllwrs.com 
Tue Jul 21 03:24:36 PDT 2015 --  You're willing to work extra hard today in order to solidify y... More for Aries http://bit.ly/zzEL3G 
Mon Jul 20 18:47:24 PDT 2015 --  I love the intro to true detective
Mon Jul 20 18:45:45 PDT 2015 --  I'm so glad to be home
Mon Jul 20 03:24:54 PDT 2015 --  Sorry, Aries, you need to save your daydreaming for the night ... More for Aries http://bit.ly/zzEL3G 
