Wed Aug 26 08:47:27 PDT 2015 --  I ate a poptart too enthusiastically and I bunt my mouth #wild
Tue Aug 25 19:19:04 PDT 2015 --  Putting cake batter in a waffle maker might be the best thing I've ever done
Sun Aug 23 16:34:43 PDT 2015 --  I am so good at loosing hairbrushes
Thu Aug 20 19:45:14 PDT 2015 --  Throwback to that time Daisy got a haircut and looked like an actual potato. pic.twitter.com/keE12LPf0O
Thu Aug 20 10:37:49 PDT 2015 --  Help I can't stop watching Dance Moms
Mon Aug 17 16:01:43 PDT 2015 --  Since I've left camp I can't remember how to dress in the real world
Fri Aug 14 17:11:21 PDT 2015 --  I'm not entirely sure why but I bought my dog a wedding dress today.
Tue Aug 11 17:22:15 PDT 2015 --  Hi my name is Tara and I'm addicted to buying souvenir tshirts
Mon Aug 03 18:10:38 PDT 2015 --  Tried waterskiing for the first time today and needless to say I have found yet another thing I'm terrible at
Sun Aug 02 09:52:11 PDT 2015 --  I feel like flying ants are taking over the world and i'm not sure how I feel about it..
Sun Aug 02 20:20:02 PDT 2015 --  Literally slept for 15 hours today and could definitely sleep for 15 more
Fri Jul 24 09:41:45 PDT 2015 --  I NEED chicken nuggets. I NEED THEM.
Sun Jul 19 21:03:08 PDT 2015 --  Today I met a fat pug named Patricia and it was so amazing
Tue Jul 14 11:01:31 PDT 2015 --  50 campers at boy's camp held a 1am seance in the gym and everyone is being so calm about it #what
Mon Jul 13 16:14:22 PDT 2015 --  Only ate carbs today. So much regret
Sun Jul 12 15:44:27 PDT 2015 --  Surviving on a diet consisting almost entirely of carbs is my only talent.
Sun Jul 12 07:49:05 PDT 2015 --  An entire sink arrived in the camp mail and literally no one knows where it came from or who it's for
Thu Jul 09 20:54:27 PDT 2015 --  The entire dining hall at camp sang happy birthday to my dog #HBDDaisy
Wed Jul 08 15:11:16 PDT 2015 --  my dog and I are relationship goals
Sat Jul 04 06:25:47 PDT 2015 --  And on this sacred day, we remember all the victims of the Vista Camps 4th of July Lice Crisis. Thoughts and prayers #4thofJulice
Fri Jul 03 21:02:08 PDT 2015 --  Very very excited for my box of 20 hair bows to arrive. Will keep you all updated.
Fri Jul 03 16:42:45 PDT 2015 --  If your mom never forced you to wear a flag shirt from Old Navy on the 4th of July, are you really American?
Fri Jul 03 12:18:22 PDT 2015 --  I tried to buy one hairbow and ended up buying 20 #impulsebuy
Sun Jun 28 15:56:46 PDT 2015 --  I would eat healthy but then I remember that time Eve ate an apple and doomed all of humanity so idk better not risk it
Sun Jun 28 20:34:06 PDT 2015 --  I am so so good at spending money I don't have on stuff I don't need
Sat Jun 20 13:41:54 PDT 2015 --  I inhaled through my mouth and a bug flew down my throat. #camp
Wed Jun 17 03:59:54 PDT 2015 --  The #BerkeleyBalconyCollapse is NOTHING short of a TRAGEDY. @nytimes need to respect the victims and their families, not slam the Irish.
Wed Jun 17 12:34:01 PDT 2015 --  Escaped goat update: The escaped camp goat has been spotted 2 weeks after its escape on an island in the middle of the river. #goat2015
Sun Jun 14 20:37:55 PDT 2015 --  Things I'm good at: 1. Getting sunburnt 2. Literally nothing else
Sat Jun 13 19:18:03 PDT 2015 --  How many times can I lock myself in the bathroom in one summer? Let's find out!
Wed Jun 10 12:37:06 PDT 2015 --  I had a dream that I met Ke$ha and it was literally the greatest
Tue Jun 09 11:55:47 PDT 2015 --  The camp goat escaped and disappeared into the wilderness #campadventures
Mon Jun 08 21:51:45 PDT 2015 --  Today I got a Starbucks gift card because I found the most lice during lice checks. Camp is a surreal place sometimes. #4thofJulice
Sat Jun 06 20:59:26 PDT 2015 --  Dealing with the horrific and exciting realisation that I'm going to be a college graduate out in the big bad world
Thu Jun 04 14:29:48 PDT 2015 --  did you hug your cat today?
Fri Jun 05 07:47:46 PDT 2015 --  Just need a box of pop tarts ASAP u kno
Wed Jun 03 21:55:40 PDT 2015 --  IM HAVING AN ALLERGIC REACTION TO SOMETHING BUT I DONT KNOW WHAT SOS
Wed Jun 03 04:34:12 PDT 2015 --  I literally never thought I would say this but I'm awake at 6:30 in the morning to play sunrise dodgeball
Tue Jun 02 20:54:41 PDT 2015 --  You know you work at a summer camp when you have to stand in the shower and pick insects from your hair
Tue Jun 02 11:12:00 PDT 2015 --  This is the best photo ever. pic.twitter.com/6eApJTjPh2
Sun May 31 20:42:03 PDT 2015 --  Do you ever miss your dog so much that you kind of feel like your dying inside?
Sat May 23 16:02:02 PDT 2015 --  Super sad I'm missing Eurovision
Sat May 23 14:23:47 PDT 2015 --  On the way to the car dealership to trade in her car this morning @erinjen24 got hit by truck. #badtiming #thanksjimmy
Sat May 23 11:27:46 PDT 2015 --  Ireland did it! The 1st country to legalize marriage equality by popular vote, but they won't be the last! What an incredible accomplishment
Sat May 23 08:06:23 PDT 2015 --  Thanks for making the right decision Ireland. #MarRef2015 #LoveIsLove
Fri May 22 09:00:14 PDT 2015 --  Very disappointed that I'm not home to vote today but everyone that is please make sure you get out and vote yes! #MarRef
