Wed Oct 08 22:08:10 PDT 2014 --  pic.twitter.com/tRMPUmHInV
Sun Apr 27 07:20:08 PDT 2014 --  Let Them Walk - Bishop T.D. Jakes: http://youtu.be/Pketb6gxR3w  via @YouTube
Sun Jan 12 10:54:40 PST 2014 --  Christian Persecution : Martyr Killings of Christians doubles worldwide ...: http://youtu.be/9ikF_-yBkIQ  via @youtube
Sat Aug 03 14:17:37 PDT 2013 --  http://JamaicansMusics.Com  – Footage / WIFE SAVES SUICIDAL HUBBY WITH HIS BOXER SHORTS http://www.jamaicansmusics.com/2013/08/03/footage-wife-saves-suicidal-hubby-with-his-boxer-shorts/ …
Fri Aug 02 06:15:16 PDT 2013 --  Breaking News : Serious Threat shuts down U.S. Embassies on Obama's Birt...: http://youtu.be/1p8BDlfeg9c  via @youtube
Tue Jul 30 21:58:34 PDT 2013 --  Wake Up America: Homeland Security Preparing For 2nd Revolution/Economic...: http://youtu.be/PPk-l6AGT0k  via @youtube
Mon Jul 29 14:46:38 PDT 2013 --  The Depopulation Agenda of The Bilderberg Group!: http://youtu.be/qpa-T34xKmc  via @youtube
Sun Jul 28 07:01:02 PDT 2013 --  Racist Coward Bryant Seba loses fight gets gun and kills pregnant woman: http://youtu.be/JmGJ4Ob7e94  via @youtube
Thu Jul 25 11:22:02 PDT 2013 --  Everything You Need To Know About Sleep Paralysis: http://youtu.be/V10wk61kGlI  via @youtube
Wed Jul 24 07:46:28 PDT 2013 --  Untitled list (playlist): http://www.youtube.com/watch?v=RstqaAjykl0&list=TLT0C_kXVaYhI … via @youtube
Wed Jul 24 07:38:04 PDT 2013 --  Untitled list (playlist): http://www.youtube.com/watch?v=p77GnlVJyQ8&list=TLT0C_kXVaYhI … via @youtube
Tue Jul 23 09:52:26 PDT 2013 --  THE BLACK HOLOCAUST - YouTube2.flv: http://youtu.be/3Lf2XT1D2ko  via @youtube
Thu Jul 11 07:11:43 PDT 2013 --  MAKE THIS GO VIRAL! MARTIAL LAW IS COMING!!!: http://youtu.be/RstqaAjykl0  via @youtube
Sun Jul 07 07:39:20 PDT 2013 --  Samsung Galaxy S4 vs Apple iPhone 5: http://youtu.be/b93XKMs-vSY  via @youtube
Mon Jun 24 11:59:37 PDT 2013 --  Statue Seems to Rotate on Own in Manchester Museum: http://youtu.be/VbyxFtxmbTA  via @youtube
Mon Jun 03 07:58:55 PDT 2013 --  THE ONE WORLD GOVERNMENT IS POISONING THE AIR YOU BREATH WITH CHEMTRAILS!!: http://youtu.be/YNGXY86lIPo  via @youtube
Tue May 28 14:19:51 PDT 2013 --  Eddie Griffin King of Comedy never before seen stand up comedy!: http://youtu.be/ho4vq4UPT9w  via @youtube
Sun May 26 07:27:46 PDT 2013 --  Signs Of Change The Past Week Or So May 2013 Part 2: http://youtu.be/yX7k7KYkGSE  via @youtube
Tue May 14 06:13:27 PDT 2013 --  TD Jakes Sermon : Sit On Me | Sermon by Bishop T.D. Jakes 2013: http://youtu.be/GxvhWcHuEW8  via @youtube
Sat May 11 16:16:31 PDT 2013 --  Britain’s Got Talent Host SIMON COWELL Caught Kissing Female A§§ | http://JamaicansMusics.Com  http://www.jamaicansmusics.com/2013/05/britains-got-talent-host-simon-cowell-caught-kissing-female-a%c2%a7%c2%a7/ …
Wed May 08 08:29:53 PDT 2013 --  Joel Osteen #520 The Power of I AM: http://youtu.be/pDPXY3sHZJA  via @youtube
Fri May 03 06:08:54 PDT 2013 --  Joel Osteen - You Have Resurrection Power: http://youtu.be/adVcgElG1EI  via @youtube
Fri Apr 19 06:43:44 PDT 2013 --  FALSE FLAG- BOSTON BOMBING DONE BY D.H.S & F.B.I.: http://youtu.be/QWE9HWhGE54  via @youtube
Fri Mar 08 06:57:27 PST 2013 --  Mandatory Microchip Implant for all Americans by March 23rd 2013, Wake U...: http://youtu.be/ObA3OIo8_94  via @youtube
Mon Mar 04 09:22:47 PST 2013 --  THE POWER OF A THOUGHT [ HQ BISHOP TD JAKES,TEACHINGS]: http://youtu.be/_25hbdBG9cc  via @youtube
Sun Mar 03 10:51:11 PST 2013 --  TD Jakes, The Potholes: http://youtu.be/IiIC4BauIX8  via @youtube
