Thu Aug 20 19:10:39 PDT 2015 --  Johnny .
Mon Aug 17 10:35:21 PDT 2015 --  https://twitter.com/NunesMagician/status/633329590476374016 … @NunesMagician @UniWatch What do you think? top 3 Unis in ACC
Mon Aug 17 07:12:39 PDT 2015 --  Congrats on the new gig @dannykanell ! You and @ryenarussillo are going to kill it.
Tue Aug 04 13:06:27 PDT 2015 --  https://instagram.com/p/5-WjNCx_Lj/ 
Wed Jul 08 10:41:17 PDT 2015 --  . @Rosenbergradio Rosenberg and Rusillo has s nice ring to it....
Fri Jun 26 10:03:57 PDT 2015 --  Find someone who gives you that same feeling as flushing a 5-iron
Tue Jun 23 17:39:59 PDT 2015 --  Whoa, baby! Dad takes a foul ball away from Dodgers' Gonzalez at Cubs game. https://vine.co/v/e5vxFDebpip 
Tue Jun 16 11:13:19 PDT 2015 --  in keeping with baseball tradition, a Houston exec should walk into the STL offices and hit their best front office guy with a fastball
Tue Jun 16 13:08:54 PDT 2015 --  Had to post another picture from The Cardinal Course at CCNC. Awesome layout in Pinehurst, NC. https://instagram.com/p/4AL29Ax_CO/ 
Tue Jun 16 12:58:00 PDT 2015 --  The Country Club of North Carolina. https://instagram.com/p/4AKoeAR_O6/ 
Sun May 31 19:30:27 PDT 2015 --  A look from the tee box on the par 4 9th hole at Wakefield Plantation. Class layout. https://instagram.com/p/3Xq04iR_Hb/ 
Mon May 25 17:02:39 PDT 2015 --  And YA woo woo woo pic.twitter.com/qmsilV94TP
Mon May 25 09:50:37 PDT 2015 --  This game is 90% mental, and 10% taste buds. pic.twitter.com/fPDcUhcYsz
Thu May 21 11:46:02 PDT 2015 --  Hey @Lakers ! You guys should go ahead and trade that no. 2 pick for @carmeloanthony .. and then take @R_Xmas25 with pick no. 34.....
Tue May 19 07:04:13 PDT 2015 --  Amazing video. Laugh out loud hilarious if you like making fun of @AdamSchein. And don't we all? https://twitter.com/cbssportsnet/status/600661475838025729 …
Mon May 18 17:22:01 PDT 2015 --  Mets play-by-play man Gary Cohen just mentioned Uni Watch on the air. Color man Keith Hernandez was incredulous at the site's existence.
Sun May 17 09:19:16 PDT 2015 --  Setting up for a smooth cut 8 iron on the Norman course at Barefoot Resort. 158 yard par 3. https://instagram.com/p/2yhwHFR_Bu/ 
Wed May 13 09:20:25 PDT 2015 --  RT if you want @mcuban to resign @farouq1 #MavsNation pic.twitter.com/WWqxR84GsK
Mon May 11 10:06:21 PDT 2015 --  on my mind @TurningStoneCasino https://instagram.com/p/2jKXujx_B0/ 
Sat May 09 14:35:10 PDT 2015 --  Congrats @liswebby on her graduation from the Newhouse School of Communications at Syracuse University ! https://instagram.com/p/2efiz5R_Df/ 
Tue May 05 12:17:24 PDT 2015 --  If they @yankees are going to celebrate the '09 WS win, then they need to pay @AROD his $6M.
Fri May 01 07:37:55 PDT 2015 --  I believe Manziel will flourish this season...
Fri May 01 06:17:14 PDT 2015 --  Great season @MCW1 ! The future is bright for the @Bucks !!
Mon Apr 20 13:49:30 PDT 2015 --  The rare and coveted #BajaBlast is back along with #SangritaBlast. RT to spread the word. pic.twitter.com/D2s43RR3QU
Sat Apr 25 19:37:22 PDT 2015 --  This Man @StephenCurry30 playing like he on rookie difficulty on 2k! Everything was going in! #TheManDontMiss #StephCurryWitDaShotBoy
Sat Apr 25 17:14:55 PDT 2015 --  Long birdie attempt on the par 3 4th hole at the Washington Duke Golf Club https://instagram.com/p/16uspbx_FP/ 
Sat Apr 25 14:07:30 PDT 2015 --  The par 5 1st hole at Tobacco Road Golf Club. One of my favorite, and also one of the most difficult… https://instagram.com/p/16ZP7jR_MY/ 
Sat Apr 25 14:00:20 PDT 2015 --  The Old Well on a rainy day in Chapel Hill. https://instagram.com/p/16YbbnR_Kl/ 
Fri Apr 24 22:45:58 PDT 2015 --  Remember when you saved the day in Rochester NY 2009? @Ludacris
Thu Apr 23 15:54:15 PDT 2015 --  "I might not be shit to you, but my momma thinks I made it" Happy Birthday dfreshmama !! https://instagram.com/p/11b4HYx_D0/ 
Sun Apr 19 16:07:46 PDT 2015 --  Congrats @TimTebow. Finally getting the chance you deserve. #Eagles
Sat Apr 18 06:30:16 PDT 2015 --  Alex Rodriguez's 477-foot HR was the longest at Tropicana Field in the last 10 years. It's the longest HR in the Majors this season.
Sat Apr 18 06:36:47 PDT 2015 --  Good Luck in the Playoffs today @Cuse boys ! @MCW1 @tdot_ennis @Bucks
Sat Apr 18 06:28:08 PDT 2015 --  Another A-Bomb, from @AROD… #ChasingHistory #TheNatural
Mon Apr 13 11:34:02 PDT 2015 --  NBA strikes new marketing deal with Pepsi ending 28-year partnership with Coke. http://thesco.re/1cpuZQK  pic.twitter.com/0ELJhxRvMb
Mon Apr 13 07:12:07 PDT 2015 --  Last night @AlexMyers3 said Spieth did an add-on, shot-by-shot recap of his rd at end of presser. He wasn't kidding: http://www.asapsports.com/show_interview.php?id=108370 ….
Mon Apr 06 06:08:11 PDT 2015 --  Come on @buffalobills ! Everybody knows it's #LamborghiniPercy @JalenRose
Wed Apr 01 13:57:36 PDT 2015 --  Are Cliff Paul and Sebastian Curry still cool after that?
