Wed Aug 26 12:01:36 PDT 2015 --  AFICIÓN | Somos 9.924 abonados. ¿Te vas a perder la temporada 2015-2016? http://www.elchecf.es/-/horarios-y-puntos-de-venta-del-tour-franjiverde-24-28-de-agosto … #SiempreContigo pic.twitter.com/Os4oUzee6J
Sun Aug 23 05:52:32 PDT 2015 --  ¡Pedro, Pedro, Pedro! El canario se corona en su debut. #PremierLeague pic.twitter.com/r2ApcBDMxQ
Sun Aug 23 05:43:07 PDT 2015 --  @PepeMorago cuantifica la aficion del ECF.
Fri Aug 21 11:30:44 PDT 2015 --  Vuelve la Primera división. Si, esa categoría que entre muchos han robado al #ElcheCF y ahora tratan de compensar. Qué lástima de fútbol...
Thu Aug 20 05:31:58 PDT 2015 --  #GràciesPedro LLIGA CHAMPIONS COPA SUPERCOPA EUROPA SUPERCOPA ESPAÑA MUNDIAL CLUBS 99 pic.twitter.com/IySqQVuGQ9
Thu Aug 20 01:05:38 PDT 2015 --  El delantero Nikos Vergos llegará cedido del Olympiakos http://bit.ly/1MF52fC 
Sun Aug 16 02:42:42 PDT 2015 --  ... ¿y si llueve? ¡Pues lo celebramos en el invernadero! Detalle del arco que montamos para la… https://instagram.com/p/6cIs37CT88/ 
Mon Aug 17 13:48:22 PDT 2015 --  INFORMACIÓN | Cerramos el lunes con 198 abonados nuevos para un total de 8.756. ¡Ya queda menos para que empiece la @Liga_Adelante!
Fri Aug 14 14:25:04 PDT 2015 --  Lo triste es que ahora colgarán a estos muchachos que están jugando... un 5º título.
Fri Aug 14 05:52:50 PDT 2015 --  Jaime Jiménez (Eibar) y Jesús Fernández (Levante) son dos porteros que están en la agenda de Ramón Planes. #ElcheCF
Fri Aug 14 03:56:16 PDT 2015 --  BMW Concept M4 GTS: alma de competición http://www.marca.com/2015/08/14/motor/modelos-coches/1439547075.html … pic.twitter.com/H5DJdwQW7N
Thu Aug 13 15:02:19 PDT 2015 --  Visca la Mare de Déu!!! #LaFesta2015 pic.twitter.com/7mIDIqy6oY
Thu Aug 13 13:41:13 PDT 2015 --  INFORMACIÓN | 309 abonos sumamos hoy para un total de 7.935 abonados. ¡Sigamos creciendo juntos!
