Fri Aug 28 18:27:18 PDT 2015 --  Wer ist noch wach? Hebt mal euren Fuß
Fri Aug 28 19:02:06 PDT 2015 --  Bei dem s/w - Effekt kann ich nicht aufhören in @kittischnitti s Augen zu sehen. Hypnotisiert
Thu Jul 23 13:52:09 PDT 2015 --  Wir sind Orcas.
Sun Aug 16 10:41:13 PDT 2015 --  Immer, wenn ich das Teen Titans Intro läuft muss ich an @datfcknadam und ihr Squad denken.
Thu Jan 09 11:29:17 PST 2014 --  Happy New Earth Orbit, Friends! Let's all have a pleasant trip around the sun this year, shall we? ;^D
Sun Dec 01 01:33:18 PST 2013 --  Paul walker's Tod kam eindeutig zu früh. Um 5 Uhr morgens schlafen doch noch die meisten
Thu Nov 14 14:25:21 PST 2013 --  Today, I was getting intimate with my husband on our anniversary day. He climbed on top of me and fir... FML http://www.fmylife.com/intimacy/18083202/ … via @fml
Tue Oct 01 10:15:26 PDT 2013 --  playin minecraft pic.twitter.com/mS8OhrCQu7
Fri Oct 11 14:17:15 PDT 2013 --  Und im Gebüsch gab es Drogen!
Thu Oct 10 13:51:09 PDT 2013 --  " @ScottDelaurie: I usually end up liking people more than they like me."
Sun Oct 06 08:52:54 PDT 2013 --  Meine Mutter hat mir per SMS einen Kettenbrief geschrieben mit dem Satz: "Lies mal, ist richtig schön! :)" #Mütter :D
Sun Oct 06 06:47:36 PDT 2013 --  First good @facebook app update for @windowsphone
Sun Oct 06 00:47:06 PDT 2013 --  There is a service called shitsenders . com that will anonymously ship your enemies a gallon of cow, elephant or gorilla shit, your choice.
Wed Oct 02 10:00:04 PDT 2013 --  I don't even own GTAV and I've played it online just as much as most of you.
Sat Sep 28 11:29:02 PDT 2013 --  Fun prank: fill your friend's car up with ping pong balls and then when he opens the car door, set his house on fire
Tue Oct 01 05:30:08 PDT 2013 --  Today, I bit my boyfriend's neck. I felt something squirt into my mouth. Turns out I had just popped ... FML http://www.fmylife.com/miscellaneous/361047/ … via @fml
Tue Jul 23 00:20:43 PDT 2013 --  Ich will ja nicht sagen, dass es in meiner Wohnung zu heiß ist. Aber zwei Hobbits haben hier gerade einen Ring reingeworfen...
