Tue Aug 25 05:30:35 PDT 2015 --  Dear Club Day, pic.twitter.com/dAjTPZI1Bu
Sat Aug 22 11:55:36 PDT 2015 --  My God is big. So big he can stand in the deepest ocean and still be ankle deep.
Thu Aug 20 21:27:48 PDT 2015 --  Thank you God for the good days and for the bad days. Thank you for reminding me that without you I wouldn't have a day to call good or bad.
Sun Aug 16 12:59:30 PDT 2015 --  Why call it a slumber party when you could call it a siesta fiesta?
Wed Aug 12 17:48:33 PDT 2015 --  Tomorrow is the first day of Senior Skip Semester, right? RIGHT?!?
Mon Jul 20 15:59:20 PDT 2015 --  Bipolar weather, terrific meth production. #GrowingUpInMissouri
Mon Jul 06 07:47:19 PDT 2015 --  Go home Kentucky, you're drunk. pic.twitter.com/0bfstbZkyK
Tue Jun 30 11:50:51 PDT 2015 --  My brother: Cotton candy flavored things were always the best. Me: Really? Why? My brother: Because it has two flavors. Cotton. And candy.
Thu Jun 25 11:57:36 PDT 2015 --  DON'T Y'ALL THINK I FORGOT ABOUT THE PICTURES I TOOK ON THE WAY TO QUINCY pic.twitter.com/W10hdf3Rpr
Mon Jun 15 13:08:28 PDT 2015 --  Waiting for the Fourth Of July like: pic.twitter.com/jGGCqT99We
Sun Jun 14 17:01:40 PDT 2015 --  If I was a stripper, I'd call myself Twerkules
Thu Jun 11 14:01:35 PDT 2015 --  Uncle Drake has created a little selfie monster pic.twitter.com/sp191XIimy
Tue Jun 09 18:12:22 PDT 2015 --  IF I HAVE EVER MADE FUN OF YOU FOR BEING PALE AND GETTING A SUNBURN I AM SO SORRY. I GOT A SUNBURN AND I THINK IM DYING
Sat Jun 06 11:03:58 PDT 2015 --  "That golfer has no butt"-Levi's Mom
Fri Jun 05 11:34:51 PDT 2015 --  I am so blessed. pic.twitter.com/Z3h6WqZv2Z
Tue Jun 02 19:31:37 PDT 2015 --  Life is an amazing gift!
Mon Jun 01 20:42:21 PDT 2015 --  John 1:3 "Through him all things were made; without him nothing was made that has been made." pic.twitter.com/5qUKJsdD21
Sun May 10 23:15:11 PDT 2015 --  Oops I stayed up till 1:15 talking about my life with my mother
Thu May 07 18:33:18 PDT 2015 --  One time I went to Jaci's house and her little sister covered my face with stickers... pic.twitter.com/XTHM17F5Eu
