Tue Aug 25 05:16:32 PDT 2015 --  Rowena Gonsalves I know you can relate.....Sorry about this http://fb.me/2jUBWVjz8 
Sun Aug 23 04:56:15 PDT 2015 --  Pretty young girls Nirika & Nita Rodrigues support d #CampalCreekSelfie campaign in #Goa. http://www.facebook.com/CampalCreekSelfie … pic.twitter.com/UVJrxVoyWl
Sun Aug 23 06:18:38 PDT 2015 --  Jose mourinho you evil genius #Chelseafc http://fb.me/3hzLSnxha 
Fri Aug 21 00:18:43 PDT 2015 --  That's the plan..... @ravensglobe https://twitter.com/mackayshotel/status/629698581809770496 …
Sat Aug 15 07:56:44 PDT 2015 --  @nike @nikeuk you have messed me up with my order. I am now worried about how secure your customer payment info is #fraud #onlinebuyingsham
Sat Aug 15 07:05:08 PDT 2015 --  Thank you Cindy for the #iphone6plus good bye old friend #samsungnote2… https://instagram.com/p/6aB8bHLoHyoIj4BtYG0_H2_0jCEsiDy6tU7SY0/ …
Sat Aug 15 02:24:05 PDT 2015 --  Its not my birthday yet ......but the gifts start to pour #Dads the first… https://instagram.com/p/6Zhx7jroLIhPrvlN0frBXUd2QLDFVjThqRKdE0/ …
Tue Aug 11 05:33:57 PDT 2015 --  Current mood #Asknoquestions https://instagram.com/p/6PkVKNLoAat8o13czeF6BSjFd-jm5vDxgj3a80/ …
Sat Aug 08 07:39:51 PDT 2015 --  Something new in the garage #Porsche. Nice one Denzil @ Al… https://instagram.com/p/6IEWmkroFyCFQB6qhCqCxS-CLTfUkzvTvTjds0/ …
Sat Aug 08 03:53:38 PDT 2015 --  #Audi #Q7 #101rules . #Rule1 always take your #Q7 to #Ikea . Then ask Cindy Joycelyn Fernandes to take a video http://fb.me/7xhrFor1G 
Fri Aug 07 23:43:37 PDT 2015 --  Waiting for it all to begin .....come on #Chelsea #Champions
Mon Aug 03 12:15:08 PDT 2015 --  I like this slap better ... http://fb.me/7DNrsVJes 
Mon Aug 03 00:47:39 PDT 2015 --  Now that is a slap .... http://fb.me/3IGeqbRzE 
Fri Jul 31 12:35:16 PDT 2015 --  Kurt Geiger has a new helper #Doha #landmark https://instagram.com/p/5z_zVaroIk/ 
Fri Jul 31 11:15:22 PDT 2015 --  Haha haha well done ... http://fb.me/7lkJ0Ua0X 
Fri Jul 31 10:23:28 PDT 2015 --  Got my colours on #chelseafc #champions #Blues #CFC #Qatar @ Al… https://instagram.com/p/5zwt9pLoJ6vWaBqLX_PdDp3KDsNIo8787TjaM0/ …
Thu Jul 30 06:49:45 PDT 2015 --  Rachel Fernandes Cindy Joycelyn Fernandes http://fb.me/3wNlqwoMS 
Mon Jul 27 07:30:33 PDT 2015 --  The photographer has got some skill.... #airmax #allday https://instagram.com/p/5pJtPMLoIn/ 
Mon Jul 27 06:53:25 PDT 2015 --  I miss you #Pattaya #hilltop #Pattaya #Thailand .. https://instagram.com/p/5pFf-0LoAR/ 
