Sat Aug 22 17:06:23 PDT 2015 --  "Minsan namimiss mo, pero minsan mas gusto mong kalimutan na lang."
Thu Aug 20 18:31:46 PDT 2015 --  Ang TUNAY na NAGMAMAHAL ay parang TAPAT na ESTUDYANTENG NAG-EEXAM. Kahit nahihirapan na, HINDI pa rin tumitingin sa IBA.
Thu Aug 20 18:34:07 PDT 2015 --  It's hard to forget someone who gave you so much to remember.
Thu Aug 20 18:35:14 PDT 2015 --  “Kunwari hindi nasasaktan.” Diyan tayo magaling eh.
Thu Aug 20 18:15:01 PDT 2015 --  "Pretending to be okay was never easy."
Thu Aug 20 18:20:25 PDT 2015 --  Use your brain to protect your heart from pain.
Thu Aug 20 18:25:16 PDT 2015 --  Hindi na uso yung "Pag ang tanga natuto, humanda ka." Kasi sa panahon ngayon,"Ang tanga pag natuto, mamaya tanga nanaman."
Thu Aug 20 17:55:01 PDT 2015 --  "FACT: Kung sino pa ang komedyante sa inyong magkakaibigan ay siya pa ang napakadrama sa totoong buhay."
Thu Aug 20 17:26:45 PDT 2015 --  Forever single, forever getting fucked over, forever hoping, forever waiting.
Thu Aug 20 08:58:58 PDT 2015 --  ang hirap magtago ng tunay na nararamdaman? ano ba dapat kong gawin? sabihin ang totoong nararamdaman o itago habang buhay?
Wed Aug 19 08:45:01 PDT 2015 --  The mind says NO, but the heart dictates GO.
Tue Aug 18 08:22:39 PDT 2015 --  Bilbil nga hindi ko maitago eh, selos pa kaya?
Sun Aug 16 16:15:38 PDT 2015 --  Lord, thank You for waking me up today. I am healthy. I am blessed. I love You. Amen.
Sun Aug 16 08:35:09 PDT 2015 --  Minsan kahit nakakaramdam kana ng sama ng loob, mas pinipili mo nalang tumahimik.
Sat Aug 15 18:55:07 PDT 2015 --  Nagkakasakit ako dahil sa lintik na panahon… Panahon na wala ka sa tabi ko!
Sat Aug 15 07:20:02 PDT 2015 --  galing talaga ng team c ng to the top., #TTTAPOAcapella
Fri Aug 14 23:54:38 PDT 2015 --  Retweet kung bagay na bagay sila! #AlDubForYouIWill pic.twitter.com/B6iHM4Hf02
Fri Aug 14 20:01:23 PDT 2015 --  RT kung kinilig ka dito! #AlDubForYouIWill pic.twitter.com/QWXL9sbghm
Fri Aug 14 17:50:05 PDT 2015 --  How many Retweets for the hottest and cutest bae @aldenrichards02? #AlDubForYouIWill pic.twitter.com/OU0m0pleTh
