Fri Aug 28 08:30:04 PDT 2015 --  Slow but sure... Step by step. Karena semua butuh proses. Semangatttttt.....
Thu Aug 27 04:57:10 PDT 2015 --  Slfie
Wed Aug 26 18:27:33 PDT 2015 --  Waktunya mencuci.. Hmmmmmm
Wed Jun 17 23:59:18 PDT 2015 --  Kangen adzan maghrib . . .
Wed Aug 26 06:33:39 PDT 2015 --  Hmmm.. Kelupaan. Dia nya dinas dii sana mlm ini -_- ... I miss you syg.
Tue Aug 25 21:15:32 PDT 2015 --  satu musuh kebanyakan, seribu teman masih kurang, satu pacar tak mungkin di duakan.... saya mah gitu orangnya...:p
Tue Aug 25 06:31:51 PDT 2015 --  TFT sayang..
Mon Aug 24 23:06:19 PDT 2015 --  Kangen rumah,suasana,dan keluargaku semua.. @palembang :'(
Sat Aug 22 04:27:03 PDT 2015 --  Males mandi
Tue Aug 18 07:57:33 PDT 2015 --  Dari tadi keluar masuk fb. Mw buat status.. Gak jadi2. Edisi labiL @.@
Tue Aug 18 02:39:38 PDT 2015 --  Ada yang punya tips lain agar waktu di pagi hari bisa lebih luang? :) pic.twitter.com/DDoTbWtIux
Mon Aug 17 18:52:29 PDT 2015 --  HUT RI di Mancanegara, Makan Donat di Nairobi dan Pesta Rakyat di Tunisia http://detik.id/V5PQ5V  pic.twitter.com/Xmt2ux4GVf
Sun Aug 16 08:01:06 PDT 2015 --  Kejenuhan tak perlu diungkapkan, sekedar diahlikan, agar semakin meringankan.
Sun Aug 16 22:00:29 PDT 2015 --  Ketika ragu mulai menghampiri dengarkanlah kata hati.
Mon Aug 17 03:00:55 PDT 2015 --  Ambil pelajaran dari masa lalu, tinggalkan sisanya. Jangan biarkan belenggu kesedihan menutup jalanmu menuju masa depan.
Mon Aug 17 05:01:05 PDT 2015 --  Orang-orang sukses selalu berusaha! Mereka melakukan kesalahan, namun mereka tidak pernah menyerah!
Mon Aug 17 07:01:38 PDT 2015 --  Tongkat hanya penyanggah, tetapi yang membuatnya berfungsi adalah kemauan diri kita sendiri untuk terus berjalan.
Mon Aug 17 08:01:28 PDT 2015 --  Jangan takut tuk mengambil satu langkah besar bila memang itu diperlukan, Anda takkan bisa meloncati sebuah jurang, dengan 2 lompatan kecil.
Mon Aug 17 11:01:32 PDT 2015 --  Hari ini aku akan bekerja dengan lebih jujur dan rajin, agar aku lebih produktif dan dihargai dengan tinggi.
Mon Aug 17 08:26:27 PDT 2015 --  Seneng nya.. Habis jalan sm my prince.
Sun Aug 16 23:54:27 PDT 2015 --  MERDEKA.. Udah gitu aja :D
Sun Aug 16 11:35:40 PDT 2015 --  Selamat malam sayang
Sun Aug 16 11:12:50 PDT 2015 --  when i close my eyes i miss you
Sun Aug 16 11:10:38 PDT 2015 --  Automatically tweet your Facebook status updates https://ifttt.com/recipes/1789-automatically-tweet-your-facebook-status-updates …
Sat Aug 15 14:00:52 PDT 2015 --  Kedamaian berasal dari dalam batin, jangan mencarinya di luar, kamu tidak akan menemukannya.
Sat Aug 15 18:00:43 PDT 2015 --  Buruk sekali hidup bersama suasana batin negatif! bebaskan diri dengan maaf, ikhlas & berkomitmenlah untuk maju!
Sun Aug 16 01:00:45 PDT 2015 --  Pertanda kecerdasan sejati bukanlah pengetahuan, tapi imajinasi.
Sun Aug 16 02:00:46 PDT 2015 --  Ambisi tanpa pengetahuan yang cukup layaknya kapal di lautan yang kering.
Sun Aug 16 03:00:50 PDT 2015 --  Hidup tak selamanya sesuai harapan, tapi itulah yang akan Kita kenang di masa depan.
Sun Aug 16 04:00:52 PDT 2015 --  Adanya semangat karena sesuatu yang kamu yakini. Adanya rasa nikmat karena sesuatu yang kamu sukai.
Sun Aug 16 05:01:05 PDT 2015 --  Tak semua anak panahmu mengenai sasaran, apalagi jika sekedar membidik tanpa kamu lepaskan.
Sun Aug 16 06:01:16 PDT 2015 --  Jangan katakan kelemahan adalah bawaan. Kelemahan lahir karena kebodohan kita mengenali kekuatan kita.
Sun Aug 16 07:01:21 PDT 2015 --  Kegagalan tinggalkan bekasnya, sukses tinggalkan jejaknya. Belajarlah dari keduanya.
Sun Aug 16 06:36:09 PDT 2015 --  before & after listening to #DRPEPPER @diplo pic.twitter.com/PwUZxbMvPJ
Sun Aug 16 07:00:51 PDT 2015 --  jatuh cinta padamu adalah skenario Tuhan yang paling kusuka aku berperan untuk mencintaimu, dan memastikan bahwa bahagiamu adalah aku
Sun Aug 16 07:00:02 PDT 2015 --  Sebuah bangunan peninggalan Perancis di daerah Waduk Jatiluhur menyimpan daya tarik mistis yg kental. @mistertukul_T7 pkl 23.00 WIB.
Sun Aug 16 06:54:19 PDT 2015 --  Before and after listening to doctor pepper @diplo pic.twitter.com/jmCvROjxxt
Sun Aug 16 06:55:50 PDT 2015 --  Before and after listening to doctor pepper @diplo pic.twitter.com/EVOOGEdvOZ
Thu Aug 13 06:44:55 PDT 2015 --  Someone who love you, will always know the way to make you happy. :)
Thu Aug 13 08:10:41 PDT 2015 --  AKu tersenyum dan itu semua karena kamu
Thu Aug 13 08:40:41 PDT 2015 --  Semoga hubungan kita dijauhkan dari rasa bosan dan mulai males ketemu. Amin.
Thu Aug 13 08:43:55 PDT 2015 --  Tegur aku saat aku terlalu egois.
