Sat Aug 29 11:50:56 PDT 2015 --  #PMLN k #Harami #Kuttay #lovePakistan pic.twitter.com/GWtFkfDgiK
Thu Aug 27 17:55:52 PDT 2015 --  Shame on you #saifalikhan for making #hindus happy. #phantom 3rd class movie 3rd class actor 2number nawab Chutia sala
Mon Aug 24 01:15:40 PDT 2015 --  We condemn the threatening letter issued to Justice Wajih . We will conduct an investigation and punish those responsible- . @naeemul_haque
Sun Aug 23 23:57:58 PDT 2015 --  Why I called for removal of NADRA chief. Page18 of #NA122 Report leaves no room for Chairman NADRA to continue. pic.twitter.com/Z2fENa43kI
Sun Aug 23 14:44:13 PDT 2015 --  Rehams exhusband gives ridiculous remarks right after IKwins inNA122. This time, i support & stand with Reham and we should just let her be.
Sun Aug 23 12:33:39 PDT 2015 --  This is all what #PMLN can do ... #Shame on you Nawaz Sharif https://twitter.com/geonews_urdu/status/635524699477381120 …
Sun Aug 23 07:56:10 PDT 2015 --  Justice Waji is an honorable man. These little diff of opinions do not give anyone the right to threaten him. PTI will defend its seniors!!
Sun Aug 23 11:26:55 PDT 2015 --  #shameless pic.twitter.com/3CXFXhRiiC
Sun Aug 23 11:16:14 PDT 2015 --  As long as ppl like Parvez Rashid are in #Pakistan #India don't need to send #Raw agents ... #PMLN #ShameOnYou
Sun Aug 23 10:23:19 PDT 2015 --  . @MClarke23 with his family after the final Test in a superb career. He spoke here: http://cricketa.us/1NDxk9y  #ThanksPup pic.twitter.com/f2vuDl4WDo
Sun Aug 23 10:25:52 PDT 2015 --  I never heard Parvez Rashid talking something logical. This is #Pakistan #Minister ... shame on #PMLN https://twitter.com/geonews_urdu/status/635501322788319232 …
Sun Aug 23 09:42:15 PDT 2015 --  لاہور:عمران خان کی زیر صدارت پاکستان تحریک انصاف مرکزی ایڈوائزری کمیٹی میں فیصلے،ذرائع تحریک انصاف
Sun Aug 23 09:42:17 PDT 2015 --  لاہور: سردار ایاز صادق سپریم کورٹ گئےتو قانونی سطح پر بھرپور مقابلہ کیا جائے گا،ذرائع تحریک انصاف
Sun Aug 23 09:42:27 PDT 2015 --  لاہور: تحریک انصاف کے رہ نما سینیر وکیل حامد خان کو این اے122کا کیس لڑنے کی ذمےداری سونپ دی گئی،ذرائع تحریک انصاف
Sun Aug 23 10:18:38 PDT 2015 --  #Afghanis are #Traitor.... being supported and funded by #indians and #RAW .... https://twitter.com/geonews_english/status/635492669381320704 …
Sun Aug 23 10:15:34 PDT 2015 --  #Shame on this man. #PMLN #NA122 #PTI pic.twitter.com/z1DRT7Pvkr
Sun Aug 23 09:10:26 PDT 2015 --  Shame on Parvez Rashed #PMLN #NA122 pic.twitter.com/hjLC9hDrc3
Wed Aug 19 05:24:27 PDT 2015 --  This HAS TO BE the future of PAKISTANI CINEMA. Every Pakistani should be proud of SHAH and MOOR. pic.twitter.com/H0lHfTnjzS
Sat Aug 22 07:31:09 PDT 2015 --  Saad Rafiq and now Ayyaz Sadiq disqualified by election comm. 2 out of 4 wickets taken by Imran Khan. Shukar Allah.
