Thu Aug 13 15:43:07 PDT 2015 --  Oasis - Wonderwall https://youtu.be/bx1Bh8ZvH84  vía @YouTube
Fri Aug 28 17:02:34 PDT 2015 --  Hermoso dia pic.twitter.com/gDwSVzQz9u
Thu Aug 27 18:15:04 PDT 2015 --  Cuando hay un problema, el pelotudo busca culpables, el inteligente busca soluciones.
Thu Aug 27 18:15:01 PDT 2015 --  Que amable que sos gigi pic.twitter.com/SfRB31pWWW
Wed Aug 26 18:18:40 PDT 2015 --  veo como tendencia esto #PibesChorros ... y se me viene a la cabeza "Llegamos los pibes chorros"
Wed Aug 26 18:18:00 PDT 2015 --  #PibesChorros Mabeeeeeeeeel se te ve arruinada! Sera por el escabio, por la yerba o por la pasta
Tue Aug 25 05:12:08 PDT 2015 --  Las Amo pic.twitter.com/owWghgS0M6
Fri Aug 21 16:08:25 PDT 2015 --  Noooooooo que horror encontré fotos mías con el pelo violeta dios
Tue May 12 18:33:23 PDT 2015 --  A estas nenas no les vino ni de casualidad. pic.twitter.com/rgXPXR6Pfl
Fri May 29 17:08:19 PDT 2015 --  El próximo trimestre me pongo las pilas pic.twitter.com/Wvl0PjNMK8
Tue Aug 04 18:33:35 PDT 2015 --  Cuando tu enemiga mortal se hace la linda con tu pibe pic.twitter.com/F4jYXCI7If
Thu Feb 12 16:56:39 PST 2015 --  No entiendo como hay personas que hacen esto y yo ni siquiera se cómo taparme un grano boludo pic.twitter.com/Q94ajVJly7
Tue Aug 11 09:54:44 PDT 2015 --  Tu vieja se compra un celular mejor que el tuyo y vos tipo pic.twitter.com/2dv5duqdXl
Thu Aug 20 20:23:09 PDT 2015 --  yo cada vez que le subo el brillo a mi celular pic.twitter.com/3VciCshT9c
Thu Aug 20 10:04:02 PDT 2015 --  yo capaz no abro chats para no clavar el visto y quedan ahí hasta que me acuerdo y lo abro capaz ya tenes tres hijos y te digo uh colgué
Thu Aug 20 16:35:05 PDT 2015 --  yo a veces soy re sensible con las películas o sea por ahí se muere una hormiga y yo estoy tirada en el piso convulsionando de tristeza
Thu Aug 20 17:30:07 PDT 2015 --  a mí me decís de vernos y yo digo bueno después arreglamos y nunca arreglo un choto porque mis ganas de mover las articulaciones son cero
Thu Aug 20 21:36:07 PDT 2015 --  Es imposible no calcular las horas que vas a dormir antes de acostarte.
Thu Aug 20 23:34:53 PDT 2015 --  Cage The Elephant - Come A Little Closer (Officia…: https://youtu.be/KVYup3Qwh8Q 
Wed Aug 19 20:07:52 PDT 2015 --  Bueno después de trabajar 5 horas como una perra termine el trabajo.
