Sat Aug 29 01:46:59 PDT 2015 --  イライラの限界
Wed Aug 26 04:45:29 PDT 2015 --  #これ見ただけでなんの映画かわかる人RT pic.twitter.com/zW6Nup0IHi
Tue Aug 25 01:11:58 PDT 2015 --  WEGO WEB STORE 9月1日 正午12:00リニューアルOPEN ＼お得な限定プライス／ LADIES キルティングリュック 30%オフ￥1,590＋税に http://gocart.jp/shop/wego/  #WEGO pic.twitter.com/UKCTkK7NRx
Mon Aug 24 20:40:36 PDT 2015 --  WEGO WEB STORE 9月1日(火)正午12:00リニューアルOPEN ＼お得な限定プライス／ 季節の変わり目頼りになるっ LADIESネルチェックシャツ 25%オフ￥1,490にお楽しみに #WEGO pic.twitter.com/uDqWRsmhlC
Wed Aug 26 02:09:59 PDT 2015 --  小1「幼稚園は楽だった・・・」 中1「小学校は楽だった・・・」 高1「中学校は・・・(ry
Wed Aug 26 01:17:24 PDT 2015 --  宮城県民A「お前宮城県民か」 エセ宮城県民「んだ 」 宮城県民A「仙台市内における国分町と牛タン屋以外の他県民に案内出来るスポットを言え」 エセ宮城県民「えっと……」 宮城県民B「なんもねぇな」 宮城県民A「だから」
Tue Aug 25 21:06:31 PDT 2015 --  ★プーさんネイル♡ pic.twitter.com/fBodOohrXU
Mon Aug 24 04:59:35 PDT 2015 --  ニッポン快勝いたしました！やった〜！さて、バレーボールの後は恋仲！今夜の放送も前回大好評だった出演者による副音声をお届けします！今夜は、野村君&太賀君に加え、大原櫻子ちゃんが参戦！お楽しみに♫ #恋仲 #月9 #フジテレビ pic.twitter.com/8fO5igOaxB
Mon Aug 24 05:31:00 PDT 2015 --  おっと！ 言うの忘れてた‼︎ 恋仲 放送中‼︎
Sun Aug 23 16:20:27 PDT 2015 --  【算数】たかしくんには金があった。５０円のりんご５個だって、８０円のみかん７個だって、なんだって手に入った。だが、あの女は違った。「お金なんていらないわ」彼女は差し出された紙幣をつまらなそうな顔で押し戻す。こんなことは初めてだった。一体いくら積めば、あいつは俺のものになる？
Mon Aug 24 01:24:32 PDT 2015 --  妹「あれ買って。○○ちゃんも買ってもらったらしいし」 母「うちはうち。よそはよそ。」 母「勉強しろ」 妹「えー」 母「○○さんちは1日5時間は勉強してるらしいよ」 妹「うちはうち。よそはよそ」 母「屁理屈いうな」 妹「（どうしても理解できない）」
Sun Aug 23 00:08:59 PDT 2015 --  タッチのたっちゃんの名言「きれいな顔してるだろ。死んでるんだぜ。それで」の反対が「汚い顔してるだろ。生きてるんだぜ。それで」なことに気がついてしまってツラい触れないで欲しいところにタッチされて非常に手厳しい。
Sat Aug 22 22:16:34 PDT 2015 --  まず顔が終わってます https://twitter.com/iohf3h/status/635272423806406656 …
Sat Aug 22 19:11:28 PDT 2015 --  ファッション誌が付けた新しいキャッチコピーがヤバすぎてじわじわくるｗｗｗ pic.twitter.com/ADDEhBjNxb
Wed Aug 05 04:59:46 PDT 2015 --  エセ宮城県民「今日暑いねー」 宮城県民A「だから」 エセ宮城県民「？？？いやだから今日暑いねー」 宮城県民A「だから」 エセ宮城県民「お前喧嘩売ってんのか！？」 宮城県民A「こいつは偽物だ」 宮城県民B「だから」 宮城県民A「蔵王山さ連れてけ」
Tue Aug 11 17:01:12 PDT 2015 --  エセ宮城県民「オラ宮城県民」 宮城県民「ヤンヤンヤヤーン八木山の〜www」 エセ宮城県民「？」 宮城県民「ウッジッエッスウーッパーwww」 エセ宮城県民「？」 宮城県民「だるまバーゲンバーゲンwww」 エセ宮城県民「？」 宮城県民「こいつ太白山トンネルさ置いてこい」
Tue Aug 11 23:00:48 PDT 2015 --  宮城県民 「お前宮城県民だって？」 エセ宮城県民「んだんだ」 宮城県民 「ＭＩＫＡＳＡ」 エセ宮城県民「ミカサ？進撃の巨人け？？」 宮城県民 「七夕」 エセ宮城県民「7月7日だべ？」 宮城県民 「こいつをすり身にしてささかまにしてやれ」
Sat Aug 15 01:46:56 PDT 2015 --  仙台人A「お前仙台人か」 エセ仙台人「そうだっちゃ」 仙台人B「そんな言い方する人なんていない」 仙台人AB「連れて行け」
Sat Aug 22 07:52:56 PDT 2015 --  さすがに爆笑した pic.twitter.com/sTd4WoobFX
Sat Aug 22 05:48:29 PDT 2015 --  文系VS理系 - 理系30％、文系70% http://jp.vonvon.me/quiz/r/62/664/v0dkp6wltZqPRcn?utm_source=twitter&utm_medium=organic&utm_campaign=share … #vonvon_jp #文系VS理系
Sat Aug 22 05:34:58 PDT 2015 --  #このタグを見たら怖いものをひとつあげる 現実
Sat Aug 22 05:33:16 PDT 2015 --  #本名はの後の予測変換がお前の本名 本名は、ない あ、ないんですか。笑
Sat Aug 22 02:10:00 PDT 2015 --  身体測定 出席番号順に測り、終わったら教室で自習 青木「今日の課題全部終わったぁぁぁ！」 大津「今日は宿題無しだ！」 渡辺「（やっと終わったー...さぁ課題をやｒ」ｶﾞﾗｯ 教師「授業はじめるぞー」
Sat Aug 22 04:40:00 PDT 2015 --  間違えたとこ消しゴムで消したらその上の行とかもちょいちょい消えてて(´Д` )ってなる
Sat Aug 22 05:09:59 PDT 2015 --  授業終了のチャイム鳴る→教師まだ授業続けてる生徒全員「はよ終われえええええ...」
Sat Aug 22 05:09:49 PDT 2015 --  てかバレー勝ったね!! 次もがんばれんこーん!! #バレー
Fri Aug 21 22:09:50 PDT 2015 --  お昼の放送で好きなアーティストの曲が流れたら、騒ぎ出す女子。 #中学生あるある 共感できたらRT
Fri Aug 21 21:08:39 PDT 2015 --  先生に怒られてもそんな怖くない。　 #中学生あるある 共感できたらRT
Sat Aug 22 05:01:00 PDT 2015 --  これ最高w https://twitter.com/mendokusai009/status/634519190427291650 …
Thu Aug 20 23:12:58 PDT 2015 --  最近のJCとかJKとかスゴいよね。『は』→『ゎ』にしたり、『を』→『ぉ』にしたりして女子力が上がると思ってるんだよね。女子力を磨くよりもまずは助詞力を上げようとは思わないんだよね。
Fri Aug 21 05:13:05 PDT 2015 --  授業中のJKとプリのJK。 pic.twitter.com/fdDzI6UMNC
Fri Aug 21 06:13:21 PDT 2015 --  部屋にハチが侵入してきて、女子陣みんなキャーキャー言ってる中、一人の事務女子が机の上にあったウチワを手に取りだしたので（うぉーめっちゃ動揺してる。扇いで風で撃退するのかな）とか思ったら、おもむろにうちわを縦にして勢いよくハチを叩き切ってたので前世はたぶん名の知れた侍だと思う。
Sat Aug 22 00:13:22 PDT 2015 --  どんな女の子でもマジでびびった時は「きゃっ！」なんて言わないからね。 清楚で大人しくて超ゆるふわな癒し系の可愛い女の子だって後ろからびっくりさせられたら「ｳｵｫｵｵｱｱｱｱおいふざけんなクソがぶっ殺す！！！」って叫ぶからね。
Thu Aug 20 23:05:17 PDT 2015 --  【星座占い】各星座は何に負けやすいか！？ おひつじ：複雑 おうし　：美食 ふたご　：寂しさ かに　　：冷遇 しし　　：プライド おとめ　：現実 てんびん：比較 さそり　：失うこと いて　　：拘束 やぎ　　：嘘 みずがめ：裏切り うお　　：疑い
Fri Aug 21 05:05:19 PDT 2015 --  【ひらがな姓名判断】 『めちゃくちゃ優しい男性に多い名前』 ・そうた ・みなと ・そら ・たつや ・けいた ・ともき ・ゆうき ・ゆうま ・かける ・たいせい ・かいり ・こうき
Fri Aug 21 06:07:02 PDT 2015 --  ウーマンだけはやだ
Fri Aug 21 05:45:15 PDT 2015 --  ねーほんと村本うざい
Thu Aug 20 17:54:34 PDT 2015 --  WEAR更新しました まちるだ×ワイドシルエット コーデの詳細はこちら http://wear.jp/chiyoo/coordinate/4762902/ … #WEGO #WEAR #コーデ #WEGO好きな人RT pic.twitter.com/2ykSUX3RLS
