Sat Aug 29 08:34:39 PDT 2015 --  Mötley crew & Alice cooper tonight. #iconic
Tue Aug 25 11:04:16 PDT 2015 --  All she had for the summer was oatmeal and a Bowie record.
Tue Aug 25 11:03:52 PDT 2015 --  Doing huge murals is bae
Mon Aug 24 21:53:49 PDT 2015 --  Friend of the devil is no friend if mine.
Sat Aug 22 20:57:25 PDT 2015 --  pic.twitter.com/3w4uWbNN9p
Sat Aug 22 00:37:03 PDT 2015 --  I'm so ready to be in NY. #20days
Thu Aug 20 09:50:46 PDT 2015 --  "If I just had one day where I didn't feel all confused, where i didn't feel ashamed of everything. And I felt I belong some place" J Dean
Tue Aug 18 16:49:17 PDT 2015 --  Being with a group of artist working showing our individual arts after shooting film all day.... I'm so blessed.
Sun Aug 16 13:29:31 PDT 2015 --  "You don't know about real loss, because that only occurs when you love something more than you love yourself."
Sun Aug 16 11:05:56 PDT 2015 --  Ya pic.twitter.com/OcmRJTunsU
Sat Aug 15 02:24:12 PDT 2015 --  no one will ever really get me
Fri Aug 14 09:55:16 PDT 2015 --  Gypsy wind is blowing strong tonight
Mon Aug 10 19:33:42 PDT 2015 --  Nah pic.twitter.com/SFTIks4raQ
Mon Aug 10 19:29:00 PDT 2015 --  Work. https://twitter.com/cxgallardo_/status/630928614792523776 …
Mon Aug 10 11:26:53 PDT 2015 --  Yeah you cute & got this & that but what your mind & spirit like?
Sun Aug 09 07:10:11 PDT 2015 --  RT IF YOUR READY FOR SUPREME #FW15 pic.twitter.com/8ag7IxICJh
Thu Aug 06 18:38:19 PDT 2015 --  Sushi or nah.
Tue Aug 04 20:59:52 PDT 2015 --  Painting and classic rock.
Sun Aug 02 18:10:07 PDT 2015 --  "You determine your own future, so get up off that bullshit"
Sun Aug 02 13:01:13 PDT 2015 --  Being who you are, instead of being what your not will not only help you move forward. As well help you to accept where you want to be.
Sat Aug 01 22:04:14 PDT 2015 --  @ZDP189 100% of the people. Most of the stories people think our overnight success stories are really ten-year overnight successes.
Sat Aug 01 23:06:42 PDT 2015 --  I really owe @chasejarvis a lot of my respect for his insight on his own art that has pushed my own art forward. Thank you.
Wed Jul 29 22:27:57 PDT 2015 --  To be grateful is a choice.
Wed Jul 29 13:17:10 PDT 2015 --  "We will move fast, innovate tirelessly & evolve fearlessly"- CEO @devinwenig of eBay has the perfect mindset a modern CEO needs.
Mon Jul 27 18:16:12 PDT 2015 --  Drinking wine & painting, listening to Trevor hall in my studio is bliss to me.
Mon Jul 27 11:29:43 PDT 2015 --  I'm so happy with the direction my life and career is going. #blessed
Sat Jul 25 00:20:33 PDT 2015 --  I love seeing artist from my home state make it as a working artist. @OBEYGIANT and @trevorhallmusic #inspirations
Sun Jul 19 05:51:49 PDT 2015 --  The United States of America. 2015. South Carolina Capitol. (photo: Sean Rayford for The New York Times) pic.twitter.com/a8nsC6nvNa
Thu Jul 16 20:55:01 PDT 2015 --  Watching this photo shoot, and caught this cool photo. pic.twitter.com/8gwTT67B3q
Tue Jul 14 12:48:18 PDT 2015 --  If your an independent artist, and would like to have a place to promote and sell your artwork please contact me!
Sat Jul 11 13:02:23 PDT 2015 --  Ima just hang on my farm all day doing farm work and recording/playing my guitar. Write poems and drink my whiskey and smoke my weed.
Wed Jul 08 22:53:38 PDT 2015 --  It's time to start making some moves. All I can say is I hope the 'art culture' Is ready for the "Dalicasso project" @Flock864 @CxGALLARDO_
Sun Jul 05 17:44:31 PDT 2015 --  NETFLIX HAS WARRIORS NOW!!!!!!!!
Wed Jul 01 23:14:05 PDT 2015 --  Blunts in bed.
Thu Jun 25 22:47:35 PDT 2015 --  pic.twitter.com/Mg63V16Su2
Sat Jun 20 22:23:07 PDT 2015 --  Anybody that needs cool photos taken of yourself, or the brand you want to rep; let me know. I need to put my photography skills in action.
